total_pop,pop_density,housing_density,County,hh_income,land_use,State,EPA_region,native_prop,Climate_Zone
8330,10.1,5.7,05101,27441,5,5,6,0.010804321728691477,South
26120(r39094),35.6,17.9,05103,31259,5,5,6,0.0032924961715160798,South
10445,18.9,8.9,05105,43635,3,5,6,0.006701771182383916,South
21757,31.3,14.6,05107,27361,5,5,6,0.0023440731718527372,South
11291,18.8,9.3,05109,32806,6,5,6,0.006199628022318661,South
24583,32.4,14.4,05111,32267,4,5,6,0.00240003254281414,South
20662,24.1,11.7,05113,32525,6,5,6,0.017616881231245766,South
61754,76,31.4,05115,39841,5,5,6,0.007627036305340545,South
8715,13.4,6.9,05117,35346,6,5,6,0.002983362019506598,South
382748,503.8,231.1,05119,45121,3,5,6,0.004062725344090629,South
17969,27.6,13.1,05121,30222,6,5,6,0.005008625966943068,South
28258,44.5,17.2,05123,27019,5,5,6,0.005237454880033973,South
107118,148,61.9,05125,51502,3,5,6,0.005059840549674191,South
11233,12.6,5.8,05127,36417,6,5,6,0.018516869936793377,South
8195,12.3,7.4,05129,28811,6,5,6,0.011714460036607687,South
125744,236.4,102.7,05131,39482,3,5,6,0.018816007125588497,South
17058,30.2,12.2,05133,34383,6,5,6,0.02333216086293821,South
17264,28.6,16.2,05135,31135,6,5,6,0.00984708063021316,South
12394,20.4,11.1,05137,30380,6,5,6,0.006777472970792319,South
41639,40.1,18.9,05139,36464,5,5,6,0.0034342803621604744,South
17295,24.4,14.6,05141,31960,6,5,6,0.006880601329864122,South
203065,215.6,93.2,05143,42303,3,5,6,0.011784404008568686,South
77076,74.5,31.4,05145,39178,5,5,6,0.005825419066895013,South
7260,12.4,6.6,05147,27186,6,5,6,0.0024793388429752068,South
22185,23.9,10.5,05149,36606,5,5,6,0.0067162497182781155,South
1510271,2043.6,788.3,06001,69384,1,6,9,0.006488239527872812,West
1175,1.6,2.4,06003,63478,6,6,9,0.20425531914893616,West
38091,64.1,30.3,06005,54758,6,6,9,0.01779948019217138,West
220000,134.4,58.6,06007,43170,4,6,9,0.01997727272727273,West
45578,44.7,27.4,06009,54971,6,6,9,0.015116942384483743,West
21419,18.6,6.9,06011,48016,6,6,9,0.01956207105840609,West
1049025,1465.2,559.1,06013,78385,2,6,9,0.0058358952360525245,West
28610,28.4,11.1,06015,36118,5,6,9,0.07843411394617267,West
181058,106,51.6,06017,70000,2,6,9,0.011432800539053784,West
930450,156.2,53,06019,46430,3,6,9,0.016818743618679133,West
28122,21.4,8.2,06021,43074,6,6,9,0.022011236754142665,West
134623,37.7,17.3,06023,40089,5,6,9,0.05738989622872763,West
174528,41.8,13.4,06025,38685,4,6,9,0.0175272735606894,West
18546,1.8,0.9,06027,44808,6,6,9,0.11436428340342931,West
839631,103.3,35,06029,47089,3,6,9,0.015097108134406663,West
152982,110.1,31.6,06031,48684,4,6,9,0.016747068282543045,West
64665,51.5,28.2,06033,39491,5,6,9,0.03168638366968221,West
34895,7.7,2.8,06035,50317,5,6,9,0.03536323255480728,West
9818605,2419.6,849,06037,55476,1,6,9,0.0074173469652766355,West
150865,70.6,23,06039,46039,4,6,9,0.027415238789646374,West
252409,485.1,213.7,06041,89268,2,6,9,0.006033857746752295,West
18251,12.6,7,06043,49098,6,6,9,0.0288751301298559,West
87841,25.1,11.5,06045,43759,5,6,9,0.04869024715110256,West
255793,132.2,43.3,06047,43844,3,6,9,0.013577384838521774,West
9686,2.5,1.3,06049,34588,6,6,9,0.038199463142680155,West
