GEOID,county_type
13119,non-AI
06073,non-AI
06075,non-AI
06093,non-AI
06079,non-AI
06081,non-AI
06083,non-AI
06085,non-AI
06087,non-AI
06089,non-AI
06091,non-AI
06115,non-AI
06095,non-AI
06097,non-AI
06099,non-AI
06101,non-AI
06103,non-AI
06105,non-AI
06111,non-AI
06113,non-AI
06107,non-AI
06109,non-AI
08011,non-AI
08001,non-AI
08005,non-AI
08009,non-AI
08003,non-AI
08021,non-AI
08013,non-AI
08014,non-AI
08015,non-AI
08017,non-AI
08019,non-AI
08037,non-AI
05123,non-AI
05147,non-AI
05115,non-AI
05119,non-AI
01003,non-AI
01005,non-AI
01015,non-AI
05111,non-AI
05113,non-AI
05117,non-AI
05121,non-AI
05125,non-AI
05127,non-AI
05129,non-AI
29181,non-AI
29183,non-AI
29203,non-AI
29186,non-AI
29187,non-AI
29189,non-AI
29195,non-AI
29197,non-AI
29199,non-AI
29201,non-AI
29215,non-AI
29205,non-AI
29207,non-AI
29209,non-AI
29211,non-AI
29213,non-AI
29217,non-AI
29219,non-AI
29221,non-AI
29223,non-AI
29225,non-AI
29227,non-AI
29229,non-AI
29510,non-AI
30001,non-AI
30007,non-AI
30021,non-AI
30011,non-AI
30009,non-AI
30013,non-AI
30023,non-AI
30025,non-AI
30027,non-AI
30017,non-AI
30019,non-AI
30039,non-AI
30029,non-AI
30031,non-AI
30033,non-AI
30037,non-AI
36037,non-AI
36039,non-AI
36051,non-AI
30043,non-AI
30045,non-AI
36043,non-AI
36041,non-AI
36045,non-AI
36047,non-AI
36049,non-AI
36063,non-AI
36053,non-AI
36055,non-AI
36057,non-AI
36059,non-AI
36061,non-AI
36079,non-AI
36065,non-AI
36067,non-AI
36069,non-AI
36071,non-AI
36073,non-AI
36077,non-AI
36075,non-AI
36091,non-AI
36081,non-AI
36083,non-AI
36085,non-AI
36087,non-AI
36089,non-AI
36107,non-AI
36093,non-AI
36095,non-AI
36097,non-AI
36099,non-AI
36101,non-AI
36103,non-AI
36105,non-AI
36115,non-AI
36109,non-AI
36111,non-AI
36113,non-AI
36117,non-AI
36119,non-AI
36121,non-AI
36123,non-AI
37007,non-AI
37011,non-AI
37003,non-AI
37015,non-AI
37013,non-AI
37005,non-AI
37001,non-AI
37009,non-AI
37017,non-AI
18061,non-AI
18073,non-AI
18059,non-AI
37019,non-AI
37021,non-AI
37023,non-AI
18063,non-AI
18065,non-AI
18067,non-AI
18069,non-AI
18071,non-AI
18089,non-AI
18075,non-AI
18077,non-AI
18079,non-AI
18087,non-AI
18085,non-AI
18081,non-AI
18083,non-AI
12123,non-AI
12125,non-AI
12127,non-AI
13001,non-AI
13025,non-AI
13003,non-AI
12131,non-AI
12133,non-AI
29071,non-AI
29077,non-AI
29061,non-AI
29057,non-AI
29059,non-AI
29063,non-AI
29069,non-AI
29065,non-AI
29073,non-AI
29075,non-AI
29067,non-AI
29099,non-AI
29079,non-AI
29081,non-AI
29083,non-AI
29091,non-AI
29093,non-AI
29041,non-AI
29085,non-AI
29087,non-AI
29089,non-AI
29095,non-AI
29097,non-AI
29111,non-AI
29101,non-AI
29103,non-AI
29105,non-AI
29107,non-AI
29109,non-AI
29123,non-AI
29113,non-AI
29115,non-AI
29117,non-AI
29119,non-AI
29121,non-AI
29139,non-AI
29131,non-AI
29129,non-AI
29133,non-AI
29125,non-AI
29127,non-AI
29135,non-AI
29137,non-AI
29151,non-AI
29141,non-AI
29143,non-AI
29145,non-AI
29147,non-AI
29149,non-AI
29153,non-AI
29155,non-AI
29157,non-AI
29159,non-AI
29161,non-AI
29163,non-AI
29165,non-AI
34041,non-AI
35005,non-AI
34033,non-AI
34035,non-AI
34037,non-AI
34039,non-AI
35003,non-AI
35019,non-AI
35007,non-AI
35009,non-AI
35011,non-AI
35013,non-AI
35015,non-AI
35017,non-AI
35033,non-AI
35021,non-AI
35023,non-AI
35025,non-AI
35027,non-AI
35028,non-AI
35029,non-AI
35051,non-AI
35037,non-AI
35041,non-AI
35047,non-AI
35049,non-AI
36001,non-AI
35057,non-AI
35059,non-AI
36009,non-AI
36011,non-AI
36029,non-AI
36007,non-AI
36003,non-AI
36005,non-AI
36013,non-AI
36015,non-AI
36017,non-AI
36019,non-AI
36021,non-AI
36023,non-AI
36025,non-AI
36027,non-AI
36031,non-AI
36035,non-AI
17165,non-AI
17151,non-AI
17153,non-AI
17155,non-AI
17157,non-AI
17159,non-AI
17161,non-AI
17163,non-AI
17167,non-AI
17169,non-AI
17177,non-AI
17179,non-AI
17173,non-AI
17175,non-AI
17193,non-AI
17181,non-AI
17171,non-AI
17183,non-AI
17185,non-AI
17187,non-AI
17189,non-AI
17191,non-AI
17195,non-AI
17197,non-AI
17199,non-AI
17201,non-AI
17203,non-AI
18015,non-AI
18005,non-AI
18001,non-AI
18003,non-AI
18007,non-AI
18009,non-AI
18011,non-AI
18013,non-AI
18039,non-AI
18017,non-AI
18019,non-AI
18021,non-AI
18023,non-AI
18025,non-AI
18027,non-AI
18029,non-AI
18031,non-AI
18033,non-AI
18035,non-AI
18037,non-AI
18049,non-AI
18041,non-AI
18043,non-AI
18045,non-AI
18051,non-AI
18047,non-AI
29167,non-AI
29185,non-AI
18053,non-AI
18055,non-AI
18057,non-AI
29169,non-AI
29171,non-AI
29173,non-AI
29177,non-AI
29175,non-AI
29179,non-AI
37079,non-AI
37069,non-AI
37071,non-AI
37073,non-AI
37077,non-AI
37091,non-AI
37087,non-AI
37089,non-AI
37081,non-AI
37083,non-AI
37085,non-AI
37107,non-AI
37095,non-AI
37097,non-AI
37101,non-AI
37103,non-AI
37105,non-AI
37129,non-AI
37109,non-AI
37113,non-AI
37115,non-AI
37117,non-AI
37119,non-AI
37123,non-AI
37121,non-AI
37125,non-AI
37127,non-AI
48023,non-AI
37111,non-AI
37131,non-AI
37133,non-AI
37135,non-AI
48001,non-AI
48007,non-AI
48003,non-AI
48005,non-AI
48009,non-AI
48011,non-AI
48015,non-AI
48017,non-AI
48019,non-AI
48021,non-AI
48013,non-AI
47179,non-AI
47187,non-AI
47181,non-AI
47183,non-AI
47189,non-AI
48025,non-AI
48027,non-AI
48031,non-AI
48035,non-AI
48039,non-AI
48043,non-AI
48045,non-AI
48047,non-AI
48029,non-AI
48041,non-AI
48033,non-AI
48037,non-AI
48051,non-AI
48049,non-AI
48069,non-AI
48059,non-AI
48053,non-AI
48055,non-AI
48057,non-AI
48061,non-AI
48063,non-AI
48065,non-AI
48067,non-AI
48085,non-AI
48071,non-AI
48073,non-AI
48075,non-AI
48077,non-AI
48079,non-AI
48081,non-AI
48083,non-AI
48087,non-AI
48089,non-AI
48091,non-AI
48093,non-AI
48095,non-AI
48097,non-AI
48103,non-AI
48099,non-AI
18171,non-AI
18173,non-AI
18175,non-AI
18177,non-AI
18179,non-AI
18181,non-AI
18183,non-AI
19001,non-AI
19017,non-AI
19005,non-AI
19003,non-AI
19013,non-AI
19011,non-AI
19009,non-AI
19007,non-AI
19015,non-AI
19019,non-AI
19035,non-AI
19021,non-AI
19023,non-AI
19025,non-AI
19027,non-AI
19029,non-AI
19031,non-AI
19033,non-AI
19047,non-AI
19037,non-AI
19039,non-AI
19041,non-AI
19043,non-AI
19045,non-AI
38009,non-AI
38007,non-AI
38015,non-AI
38017,non-AI
38031,non-AI
38021,non-AI
38023,non-AI
38027,non-AI
38029,non-AI
48101,non-AI
48105,non-AI
48107,non-AI
48119,non-AI
38033,non-AI
38035,non-AI
38037,non-AI
38039,non-AI
38041,non-AI
38047,non-AI
38051,non-AI
48109,non-AI
48111,non-AI
48113,non-AI
48115,non-AI
48117,non-AI
48131,non-AI
48121,non-AI
48123,non-AI
48125,non-AI
48127,non-AI
48129,non-AI
48147,non-AI
48139,non-AI
48137,non-AI
48141,non-AI
48133,non-AI
48135,non-AI
48143,non-AI
48145,non-AI
48159,non-AI
48149,non-AI
48151,non-AI
48153,non-AI
48155,non-AI
48157,non-AI
48173,non-AI
48161,non-AI
48163,non-AI
48165,non-AI
48167,non-AI
48169,non-AI
48175,non-AI
48171,non-AI
48187,non-AI
48177,non-AI
48179,non-AI
48181,non-AI
48183,non-AI
48185,non-AI
48203,non-AI
48189,non-AI
48191,non-AI
48193,non-AI
48195,non-AI
48197,non-AI
48199,non-AI
48201,non-AI
48211,non-AI
48213,non-AI
48205,non-AI
48207,non-AI
48209,non-AI
19119,non-AI
19099,non-AI
19101,non-AI
19103,non-AI
19111,non-AI
19113,non-AI
19105,non-AI
19107,non-AI
19109,non-AI
19115,non-AI
19117,non-AI
19131,non-AI
19121,non-AI
19123,non-AI
19125,non-AI
19127,non-AI
19129,non-AI
19143,non-AI
19133,non-AI
19135,non-AI
19137,non-AI
19139,non-AI
19141,non-AI
19163,non-AI
19145,non-AI
19147,non-AI
19149,non-AI
19151,non-AI
19153,non-AI
19155,non-AI
19157,non-AI
19159,non-AI
19165,non-AI
19161,non-AI
19181,non-AI
19167,non-AI
19169,non-AI
19173,non-AI
19175,non-AI
19177,non-AI
19179,non-AI
19193,non-AI
19183,non-AI
19185,non-AI
19187,non-AI
19189,non-AI
19191,non-AI
38049,non-AI
38043,non-AI
19063,non-AI
19049,non-AI
19051,non-AI
19057,non-AI
19053,non-AI
19055,non-AI
19059,non-AI
19061,non-AI
19075,non-AI
19065,non-AI
19067,non-AI
19069,non-AI
19071,non-AI
19073,non-AI
19091,non-AI
19077,non-AI
19079,non-AI
19081,non-AI
19083,non-AI
19085,non-AI
19087,non-AI
19089,non-AI
37141,non-AI
19093,non-AI
19095,non-AI
19097,non-AI
37137,non-AI
37139,non-AI
37153,non-AI
37143,non-AI
37145,non-AI
37147,non-AI
37149,non-AI
37151,non-AI
37169,non-AI
37161,non-AI
37159,non-AI
37163,non-AI
37157,non-AI
37167,non-AI
37181,non-AI
37171,non-AI
37175,non-AI
37177,non-AI
37179,non-AI
37195,non-AI
37183,non-AI
37187,non-AI
37189,non-AI
37191,non-AI
37197,non-AI
37193,non-AI
